fecha_publicacion	titular_texto
20181227	Lotería de Navidad
20181227	La ministra Calviño tumbó el pacto entre Ábalos y Podemos para limitar el precio de los alquileres
20181227	El juez de 'Gürtel' no dormía, "estaba ensimismado en sus reflexiones"
20181227	Llega a España el bombardeo de protones que cura los tumores más escondidos
20181227	Hacienda torpedea la rebaja fiscal estrella del pacto andaluz entre PP y Ciudadanos
20181227	Marta Bosquet, de Ciudadanos, presidirá el Parlamento de Andalucía
20181227	Descienden un 14% las multas de tráfico en Madrid en 2018
20181227	El arzobispo Cañizares no pudo visitar a Zaplana en el hospital en Nochebuena
20181227	Se busca a Juan, el cruel pescador que grabó su nombre a navaja sobre una delfín
20181227	La factura mensual de las pensiones supera por primera vez los 9.300 millones
20181227	La impunidad dispara los linchamientos en México
20181227	Los grandes éxitos del deporte español en 2018
20181227	Laura Luelmo murió defendiéndose
20181227	Ni el Black Friday salva al pequeño comercio de la ralentización
20181227	Indonesia eleva el nivel de alerta por el volcán causante del tsunami
20181227	Chequeos médicos a los 14.000 niños migrantes bajo custodia en EEUU
20181227	"Me da muchísima rabia que critiquen a Rosalía"
20181227	Denuncian un ataque racista en una tienda de Madrid
20181227	La 'Ballena', un espacio en recuerdo de Gabriel Cruz
20181227	La Guardia Nacional rusa interpreta 'Last Christmas'
20181227	Locuras al volante grabadas por el helicóptero de la DGT
20181227	Y éstas son las mejores series que nos deja el año
20181227	Prototipos: un futuro más o menos lejano
20181227	Jung, el discípulo de Freud que quitó la corona al sexo
20181227	¿Pasas suficiente tiempo con tus hijos?
20181227	'Sensación de vivir' regresa a la TV con el reparto original
20181227	La izquierda valenciana prohíbe los circos con animales por ley
20181227	Chapuzones en el hielo: la moda de empezar el año congelado
20181227	De los zombis al pesebre comestible: los 10 belenes más frikis
20181227	El "sí, quiero" de este año: el del príncipe Harry y Meghan Markle
20181227	La SGAE vota unos estatutos para salvarse (o morir)
20181227	Pedro Sánchez viaja a Mali para visitar a las tropas españolas
20181227	Muere días después de tocarle el Gordo de Navidad
20181227	Golpean en la cara con una botella a un transexual
20181227	UNA OCULTACIÓN CÍNICA Y MUY POCO ANECDÓTICA
20181227	"Los mensajes navideños de los reyes son retórica a prueba de meteduras de pata"
20181227	"Los partidos juran que se preocupan por España y luego se matan por una mesa"
20181227	"Sánchez tiene con el engaño una relación como la del Leblanc del timo de la estampita"
20181227	Por cosas así, el Boxing Day no se discute en Inglaterra: ¡46.039 aficionados en un duelo de '2ªB'!
20181227	El 'boom Juancho Hernangómez': su mejor noche NBA
20181227	¿Quién ha sido el mejor deportista del año?
20181227	Cristiano acude al rescate de la Juve desde el banquillo
20181227	El Liverpool arrasa y se aprovecha de un nuevo tropezón del City
20181227	El Inter ajusticia al Nápoles en el descuento
20181227	Elecciones a la presidencia del Athletic: una cuestión de dinero
20181227	El mensaje de ánimo navideño de Xavi a los presos catalanes
20181227	Disparan con una escopeta a Nicki Bille, ex de LaLiga, en una pelea
