fecha_publicacion	titular_texto
20181223	Acusan a mossos separatistas de pasar información a los CDR
20181223	Sánchez deserta de España
20181223	El Krakatoa vuelve a golpear Indonesia: al menos 168 muertos por un tsunami
20181223	Manuel, una vida entre okupas
20181223	Desintoxicación bancaria: así rentabilizan los fondos las deudas del ladrillo
20181223	La Generalitat echa a Acciona de la concesión del agua el día después de ver a Sánchez
20181223	Un protectorado turco en el norte de Siria
20181223	La respuesta de Serrat a un espectador que le gritó "¡canta en catalán, estás en Barcelona!"
20181223	El 'caso Prestige', a expensas del Reino Unido y el Brexit
20181223	La juez y el fiscal, el muro contra el que choca la familia Zaplana
20181223	La ANC eleva la presión a Quim Torra para la ruptura
20181223	La enfermera de Chávez: "Si España nos extradita nos convierte en rehenes de Venezuela"
20181223	Un policía apunta con su arma a los 'chalecos amarillos'
20181223	Un Mosso a un agente rural: "¡La República no existe, idiota!"
20181223	Así es el mercado del anuncio de la Lotería de Navidad
20181223	Qué hacer (y no hacer) si te toca el Gordo de la lotería
20181223	El Real Madrid, un rey del mundo que no se cansa (4-1)
20181223	Dembélé, de problema a solución
20181223	Ramos, molesto por los pitos: "Hay que respetar a las figuras"
20181223	Llorente, el jeque del Mundial
20181223	Los Warriors sofocan el fenómeno Doncic
20181223	María Jesús Rosa en la memoria
20181223	San Mamés: Lo que el descuento te da, el descuento te lo quita
20181223	El gol del año tumba al Manchester City y el Liverpool se escapa
20181223	El Manchester United se suelta la melena con la llegada de Solksjaer
20181223	David Mamet: "Ser americano me vuelve loco. Estoy orgulloso de mi país"
20181223	Al volante del Tesla Model 3, oda a un futuro mejor
20181223	Vecindarios contra la soledad
20181223	Estados Unidos produjo 495 series en 2018
20181223	La canción que escapó a la censura
20181223	El fundador de Mongolia: "Necesito colaborar en Sálvame"
20181223	La semana de Dios Tuitero: es un milagro que toque la lotería
20181223	Helsinki: una ruta llena de mercados navideños y diseño
20181223	Cabrito, lechal... dónde comer los mejores platos esta Navidad
20181223	¿Es verdad que no nos conocemos? Un juego para descubrirlo
20181223	Muere una joven al caer de una pasarela en el aeropuerto
20181223	El terrorista juró lealtad al IS en un vídeo hace un mes
20181223	El cierre de Gobierno en EEUU, al menos hasta el jueves
20181223	Investigan la agresión sexual a una niña de 13 años
20181223	UN ACUERDO PARA FRAGUAR UN CAMBIO HISTÓRICO
20181223	"Un respeto al ajo. Lo mismo le ponen fama de curativo que de apestoso"
20181223	"El pueblo es una categoría inventada por quienes quieren asaltar el poder"
20181223	"En las próximas elecciones generales, Vox sacará de 60 escaños para arriba"
