fecha_publicacion	titular_texto
20181213	El Gobierno aprueba un gasto militar de 7.331 millones: 5 fragatas, 348 blindados y mejoras en los cazas Eurofighter
20181213	Indignación en la patronal por el pacto unilateral de Gobierno y sindicatos para cambiar la reforma laboral
20181213	Iglesias reniega de Venezuela: "He dicho cosas que ahora no comparto"
20181213	El manual de guerrillas de los radicales catalanes para sabotear el Consejo de Ministros en Barcelona
20181213	La Generalitat pedirá 8.071 millones al Fondo de Liquidez Autonómico en 2019
20181213	Brecha entre PP y Cs: Moreno dice que "Vox va a ser escuchada"
20181213	CGPJ: sin "protección" a la prensa "no es posible la democracia"
20181213	Las 6 joyas de la egiptología española
20181213	Lambán se une a Page y no descarta una ilegalización de los partidos independentistas
20181213	La Justicia europea anula los nuevos límites de emisiones del diésel
20181213	Pena máxima para el menor que violó y mató a una mujer
20181213	El Real Madrid se medirá al Leganés, su bestia negra del año pasado, en octavos de la Copa
20181213	El número tres del Papa, condenado por pederastia en Australia
20181213	1.480 plazas: Madrid busca enfermeros, arquitectos, policías...
20181213	Los antiguos clientes de las eléctricas pagan 75 € más que los nuevos
20181213	Letizia, de rompe y rasga tras el traspiés de ayer
20181213	El aventurero Frank Cuesta, a punto de ser "ejecutado" en Laos
20181213	Arrimadas le enseña un cartel con el 155 a Torra
20181213	La policía 'arranca' a un niño de los brazos de su madre en NY
20181213	Meghan Markle se salta el protocolo en unos premios de moda
20181213	Alberti y su mujer en la URSS: "Dos horas y 20 minutos sentados frente a Stalin"
20181213	Qué cenar en Navidad: recetas contra la invasión del pavo yanqui
20181213	Por qué hay que volver a Zaragoza un jueves
20181213	China confirma el arresto del reconocido fotógrafo Lu Guang
20181213	La hija secreta de Clint Eastwood se deja ver con sus siete hermanos
20181213	Las 'drag queen', de la exclusión a fenómeno de masas
20181213	Vuelve Friends, vuelve Friends, vuelve Friends, vuelve Friends...
20181213	Tres famosos televisivos que quieren que seas feliz
20181213	Actividades gratis para niños mientras haces tus compras de Navidad
20181213	'Entierra' el cadáver de su madre en casa para cobrar pensión
20181213	Detenido un monitor por siete casos de abusos a niños
20181213	Dos encapuchados maniatan a una pareja y su bebé
20181213	Nueve muertos tras descarrilar un tren en Ankara
20181213	LA VERDAD DE LAS PUERTAS DE HIERRO
20181213	"El experimento de Pedro Sánchez: ni sacar una momia de su cripta ha logrado"
20181213	"La crisis de los chalecos amarillos afecta a la circulación en las carreteras"
20181213	LA POLITIZACIÓN DE LAS CAJAS
20181213	Europa League, en directo: El Sevilla se juega todo ante el Krasnodar
20181213	Europa tampoco perdona a su rey
20181213	El Atlético y Griezmann sufren agorafobia
20181213	Sí, otra gran noche de Luka Doncic
20181213	Así quedan los bombos para el sorteo de octavos de la Champions
20181213	"La ilusión de Valladolid es mejor que meterle un 'hat trick' al Barça"
20181213	Asesinan a un seguidor de River Plate después de la Libertadores
20181213	Tebas y el partido en Miami: "Llegaré hasta el final, lo conseguiremos"
20181213	El País Vasco inicia su 'procés' futbolístico
