Buenas	bueno	AQ0FP0
noches	noche	NCFP000
.	.	Fp
Quiero	querer	VMIP1S0
,	,	Fc
en	en	SPS00
primer	1	AO0MS0
lugar	lugar	NCMS000
,	,	Fc
dar	dar	VMN0000
os	os	PP2CP000
las	el	DA0FP0
gracias	gracia	NCFP000
por	por	SPS00
abrir	abrir	VMN0000
me	me	PP1CS000
vuestras	vuestro	DP2FPP
casas	casa	NCFP000
en	en	SPS00
esta	este	DD0FS0
Nochebuena	nochebuena	NP00G00
.	.	Fp
Un	uno	DI0MS0
momento	momento	NCMS000
que	que	PR0CN000
es	ser	VSIP3S0
,	,	Fc
sobre	sobre	SPS00
todo	todo	PI0MS000
,	,	Fc
de	de	SPS00
cercanía	cercanía	NCFS000
y	y	CC
de	de	SPS00
reencuentro	reencuentro	NCMS000
;	;	Fx
un	uno	DI0MS0
momento	momento	NCMS000
para	para	SPS00
aproximar	aproximar	VMN0000
nos	nos	PP1CP000
,	,	Fc
para	para	SPS00
mirar	mirar	VMN0000
nos	nos	PP1CP000
con	con	SPS00
la	el	DA0FS0
voluntad	voluntad	NCFS000
y	y	CC
el	el	DA0MS0
deseo	deseo	NCMS000
de	de	SPS00
entender	entender	VMN0000
nos	nos	PP1CP000
,	,	Fc
para	para	SPS00
transmitir	transmitir	VMN0000
a	a	SPS00
las	el	DA0FP0
personas	persona	NCFP000
que	que	PR0CN000
nos	nos	PP1CP000
rodean	rodear	VMIP3P0
nuestros	nuestro	DP1MPP
mejores	mejor	AQ0CP0
sentimientos	sentimiento	NCMP000
de	de	SPS00
afecto	afecto	NCMS000
,	,	Fc
de	de	SPS00
paz	paz	NCFS000
y	y	CC
de	de	SPS00
alegría	alegría	NCFS000
.	.	Fp
Hoy	hoy	RG
quiero	querer	VMIP1S0
estar	estar	VAN0000
a	a	SPS00
vuestro	vuestro	DP2MSP
lado	lado	NCMS000
para	para	SPS00
compartir	compartir	VMN0000
en	en	SPS00
el	el	DA0MS0
primer	1	AO0MS0
mensaje	mensaje	NCMS000
de	de	SPS00
Navidad	navidad	NP00V00
que	que	PR0CN000
os	os	PP2CP000
dirijo	dirigir	VMIP1S0
,	,	Fc
unas	uno	DI0FP0
reflexiones	reflexión	NCFP000
sobre	sobre	SPS00
nuestro	nuestro	DP1MSP
futuro	futuro	NCMS000
,	,	Fc
con	con	SPS00
la	el	DA0FS0
mirada	mirada	NCFS000
puesta	poner	VMP00SF
,	,	Fc
con	con	SPS00
confianza	confianza	NCFS000
en	en	SPS00
el	el	DA0MS0
año	año	NCMS000
2015	2015	Z
.	.	Fp
Estamos	estar	VAIP1P0
viviendo	vivir	VMG0000
tiempos	tiempo	NCMP000
complejos	complejo	AQ0MP0
y	y	CC
difíciles	difícil	AQ0CP0
para	para	SPS00
muchos	mucho	DI0MP0
ciudadanos	ciudadano	NCMP000
y	y	CC
para	para	SPS00
España	españa	NP00G00
en	en	SPS00
general	general	AQ0CS0
.	.	Fp
La	el	DA0FS0
dureza	dureza	NCFS000
y	y	CC
duración	duración	NCFS000
de	de	SPS00
la	el	DA0FS0
crisis	crisis	NCFN000
económica	económico	AQ0FS0
produce	producir	VMIP3S0
en	en	SPS00
muchas	mucho	DI0FP0
familias	familia	NCFP000
incertidumbre	incertidumbre	NCFS000
por	por	SPS00
su	su	DP3CS0
futuro	futuro	NCMS000
;	;	Fx
la	el	DA0FS0
importancia	importancia	NCFS000
de	de	SPS00
algunos	alguno	PI0MP000
de	de	SPS00
nuestros	nuestro	DP1MPP
problemas	problema	NCMP000
políticos	político	AQ0MP0
genera	generar	VMIP3S0
inquietud	inquietud	NCFS000
;	;	Fx
y	y	CC
las	el	DA0FP0
conductas	conducta	NCFP000
que	que	PR0CN000
se	se	P00CN000
alejan	alejar	VMIP3P0
de	de	SPS00
el	el	DA0MS0
comportamiento	comportamiento	NCMS000
que	que	PR0CN000
cabe	caber	VMIP3S0
esperar	esperar	VMN0000
de	de	SPS00
un	uno	DI0MS0
servidor	servidor	NCMS000
público	público	AQ0MS0
,	,	Fc
