Buenas	bueno	AQ0FP0
noches	noche	NCFP000
,	,	Fc
Me	me	PP1CS000
dirijo	dirigir	VMIP1S0
a	a	SPS00
todos	todo	DI0MP0
vosotros	vosotros	PP2MP000
para	para	SPS00
felicitar	felicitar	VMN0000
os	os	PP2CP000
la	el	DA0FS0
Navidad	navidad	NP00O00
y	y	CC
transmitir	transmitir	VMN0000
os	os	PP2CP000
junto_a	junto_a	SPS00
la	el	DA0FS0
Reina	reina	NP00SP0
,	,	Fc
la	el	DA0FS0
Princesa_de_Asturias	princesa_de_asturias	NP00O00
y	y	CC
la	el	DA0FS0
Infanta_Sofía	infanta_sofía	NP00O00
nuestros	nuestro	DP1MPP
mejores	mejor	AQ0CP0
deseos	deseo	NCMP000
para	para	SPS00
el	el	DA0MS0
año	año	NCMS000
2018	2018	Z
.	.	Fp
Y	y	CC
os	os	PP2CP000
agradezco	agradecer	VMIP1S0
que	que	CS
en	en	SPS00
esta	este	DD0FS0
noche	noche	NCFS000
de	de	SPS00
encuentro	encuentro	NCMS000
de	de	SPS00
familias	familia	NCFP000
y	y	CC
de	de	SPS00
seres	ser	NCMP000
queridos	querer	VMP00PM
,	,	Fc
me	me	PP1CS000
permitáis	permitir	VMSP2P0
acompañar	acompañar	VMN0000
os	os	PP2CP000
unos	uno	DI0MP0
minutos	minuto	NCMP000
para	para	SPS00
compartir	compartir	VMN0000
con	con	SPS00
vosotros	vosotros	PP2MP000
algunas	alguno	DI0FP0
reflexiones	reflexión	NCFP000
cuando	cuando	CS
estamos	estar	VAIP1P0
ya	ya	RG
a_punto_de	a_punto_de	SPS00
terminar	terminar	VMN0000
el	el	DA0MS0
año	año	NCMS000
.	.	Fp
2017	2017	Z
ha	haber	VAIP3S0
sido	ser	VSP00SM
en	en	SPS00
España	españa	NP00G00
,	,	Fc
sin	sin	SPS00
duda	duda	NCFS000
,	,	Fc
un	uno	DI0MS0
año	año	NCMS000
difícil	difícil	AQ0CS0
para	para	SPS00
nuestra	nuestro	DP1FSP
vida	vida	NCFS000
en	en	SPS00
común	común	AQ0CS0
;	;	Fx
un	uno	DI0MS0
año	año	NCMS000
marcado	marcar	VMP00SM
,	,	Fc
sobre	sobre	SPS00
todo	todo	PI0MS000
,	,	Fc
por	por	SPS00
la	el	DA0FS0
situación	situación	NCFS000
en	en	SPS00
Cataluña	cataluña	NP00G00
,	,	Fc
a	a	SPS00
la	el	DA0FS0
que	que	PR0CN000
luego	luego	RG
me	me	PP1CS000
referiré	referir	VMIF1S0
.	.	Fp
Pero	pero	CC
también	también	RG
ha	haber	VAIP3S0
sido	ser	VSP00SM
un	uno	DI0MS0
año	año	NCMS000
en	en	SPS00
el	el	DA0MS0
que	que	PR0CN000
hemos	haber	VAIP1P0
comprobado	comprobar	VMP00SM
el	el	DA0MS0
compromiso	compromiso	NCMS000
muy	muy	RG
sentido	sentir	VMP00SM
,	,	Fc
firme	firme	AQ0CS0
y	y	CC
sincero	sincero	AQ0MS0
de	de	SPS00
los	el	DA0MP0
españoles	español	NCMP000
con	con	SPS00
la	el	DA0FS0
España	españa	NP00O00
democrática	democrático	AQ0FS0
que	que	PR0CN000
juntos	junto	AQ0MP0
hemos	haber	VAIP1P0
construido	construir	VMP00SM
.	.	Fp
Porque	porque	CS
lo	el	DA0NS0
largo	largo	AQ0MS0
de	de	SPS00
los	el	DA0MP0
últimos	último	AO0MP0
40	40	Z
años	año	NCMP000
,	,	Fc
hemos	haber	VAIP1P0
conseguido	conseguir	VMP00SM
hacer	hacer	VMN0000
realidad	realidad	NCFS000
un	uno	DI0MS0
país	país	NCMS000
nuevo	nuevo	AQ0MS0
y	y	CC
moderno	moderno	AQ0MS0
,	,	Fc
un	uno	DI0MS0
país	país	NCMS000
entre	entre	SPS00
los	el	DA0MP0
más	más	RG
avanzados	avanzar	VMP00PM
de	de	SPS00
el	el	DA0MS0
mundo	mundo	NCMS000
:	:	Fd
Hemos	haber	VAIP1P0
asentado	asentar	VMP00SM
definitivamente	definitivamente	RG
la	el	DA0FS0
democracia	democracia	NCFS000
,	,	Fc
incluso	incluso	RG
superando	superar	VMG0000
hace	hacer	VMIP3S0
décadas	década	NCFP000
un	uno	DI0MS0
intento	intento	NCMS000
de	de	SPS00
involución	involución	NCFS000
de	de	SPS00
nuestras	nuestro	DP1FPP
libertades	libertad	NCFP000
y	y	CC
derechos	derecho	NCMP000
.	.	Fp
Somos	ser	VSIP1P0
una	uno	DI0FS0
parte	parte	NCFS000
esencial	esencial	AQ0CS0
de	de	SPS00
una	uno	DI0FS0
Unión_Europea	unión_europea	NP00O00
con	con	SPS00
la	el	DA0FS0
que	que	PR0CN000
compartimos	compartir	VMIP1P0
objetivos	objetivo	NCMP000
y	y	CC
una	uno	DI0FS0
misma	mismo	AQ0FS0
visión	visión	NCFS000
de	de	SPS00
el	el	DA0MS0
mundo	mundo	NCMS000
.	.	Fp
Frente_a	frente_a	SPS00
el	el	DA0MS0
terrorismo	terrorismo	NCMS000
hemos	haber	VAIP1P0
conseguido	conseguir	VMP00SM
hacer	hacer	VMN0000
prevalecer	prevalecer	VMN0000
la	el	DA0FS0
vida	vida	NCFS000
,	,	Fc
la	el	DA0FS0
dignidad	dignidad	NCFS000
y	y	CC
la	el	DA0FS0
libertad	libertad	NCFS000
de	de	SPS00
las	el	DA0FP0
personas	persona	NCFP000
con	con	SPS00
la	el	DA0FS0
fuerza	fuerza	NCFS000
de	de	SPS00
nuestras	nuestro	DP1FPP
convicciones	convicción	NCFP000
democráticas	democrático	AQ0FP0
.	.	Fp
Y	y	CC
hemos	haber	VAIP1P0
llevado_a_cabo	llevar_a_cabo	VMP00SM
,	,	Fc
en	en	SPS00
fin	fin	NCMS000
,	,	Fc
la	el	DA0FS0
transformación	transformación	NCFS000
más	más	RG
profunda	profundo	AQ0FS0
de	de	SPS00
nuestra	nuestro	DP1FSP
historia	historia	NCFS000
en	en	SPS00
muchos	mucho	DI0MP0
ámbitos	ámbito	NCMP000
de	de	SPS00
nuestra	nuestro	DP1FSP
vida	vida	NCFS000
:	:	Fd
en	en	SPS00
educación	educación	NCFS000
y	y	CC
en	en	SPS00
cultura	cultura	NCFS000
,	,	Fc
en	en	SPS00
sanidad	sanidad	NCFS000
y	y	CC
en	en	SPS00
servicios	servicio	NCMP000
sociales	social	AQ0CP0
,	,	Fc
en	en	SPS00
infraestructuras	infraestructura	NCFP000
y	y	CC
en	en	SPS00
comunicaciones	comunicación	NCFP000
,	,	Fc
o	o	CC
en	en	SPS00
defensa	defensa	NCCS000
y	y	CC
seguridad	seguridad	NCFS000
ciudadana	ciudadano	AQ0FS0
.	.	Fp
En	en	SPS00
definitiva	definitivo	AQ0FS0
,	,	Fc
a	a	SPS00
lo	el	DA0NS0
largo	largo	AQ0MS0
de	de	SPS00
todos	todo	DI0MP0
estos	este	DD0MP0
años	año	NCMP000
de	de	SPS00
convivencia	convivencia	NCFS000
democrática	democrático	AQ0FS0
,	,	Fc
los	el	DA0MP0
derechos	derecho	NCMP000
y	y	CC
libertades	libertad	NCFP000
,	,	Fc
el	el	DA0MS0
progreso	progreso	NCMS000
y	y	CC
la	el	DA0FS0
modernización	modernización	NCFS000
de	de	SPS00
España	españa	NP00G00
,	,	Fc
y	y	CC
también	también	RG
su	su	DP3CS0
proyección	proyección	NCFS000
y	y	CC
relevancia	relevancia	NCFS000
internacional	internacional	AQ0CS0
,	,	Fc
han	haber	VAIP3P0
ido	ir	VMP00SM
de	de	SPS00
la	el	DA0FS0
mano	mano	NCFS000
.	.	Fp
Y	y	CC
todo	todo	PI0MS000
ese	ese	DD0MS0
gran	gran	AQ0CS0
cambio	cambio	NCMS000
,	,	Fc
todo	todo	DI0MS0
