Buenas	bueno	AQ0FP0
noches	noche	NCFP000
.	.	Fp
En	en	SPS00
estas	este	DD0FP0
horas	hora	NCFP000
de	de	SPS00
la	el	DA0FS0
Navidad	navidad	NP00O00
quiero	querer	VMIP1S0
desear	desear	VMN0000
os	os	PP2CP000
,	,	Fc
junto_a	junto_a	SPS00
la	el	DA0FS0
Reina	reina	NP00SP0
y	y	CC
nuestras	nuestro	DP1FPP
hijas	hijo	NCFP000
Leonor	leonor	NP00SP0
y	y	CC
Sofía	sofía	NP00SP0
,	,	Fc
unas	uno	DI0FP0
felices	feliz	AQ0CP0
fiestas	fiesta	NCFP000
y	y	CC
nuestra	nuestro	DP1FSP
esperanza	esperanza	NCFS000
de	de	SPS00
que	que	CS
el	el	DA0MS0
2017	2017	Z
sea	ser	VSSP1S0
un	uno	DI0MS0
año	año	NCMS000
mejor	mejor	AQ0CS0
para	para	SPS00
todos	todo	PI0MP000
.	.	Fp
Y	y	CC
en	en	SPS00
una	uno	DI0FS0
noche	noche	NCFS000
como	como	CS
la	el	DA0FS0
de	de	SPS00
hoy	hoy	RG
,	,	Fc
a	a	SPS00
tantas	tanto	DI0FP0
familias	familia	NCFP000
que	que	PR0CN000
han	haber	VAIP3P0
sufrido	sufrir	VMP00SM
las	el	DA0FP0
recientes	reciente	AQ0CP0
inundaciones	inundación	NCFP000
en	en	SPS00
nuestro	nuestro	DP1MSP
país	país	NCMS000
,	,	Fc
quiero	querer	VMIP1S0
decir	decir	VMN0000
les	le	PP3CPD00
especialmente	especialmente	RG
que	que	CS
las	lo	PP3FPA00
tenemos	tener	VMIP1P0
muy	muy	RG
presentes	presente	AQ0CP0
.	.	Fp
Navidad	navidad	NCFS000
es	ser	VSIP3S0
nacimiento	nacimiento	NCMS000
,	,	Fc
y	y	CC
celebrar	celebrar	VMN0000
con	con	SPS00
alegría	alegría	NCFS000
lo	el	DA0NS0
que	que	PR0CN000
nace	nacer	VMIP3S0
es	ser	VSIP3S0
tener	tener	VMN0000
fe	fe	NCFS000
en	en	SPS00
el	el	DA0MS0
futuro	futuro	NCMS000
.	.	Fp
Es	ser	VSIP3S0
en	en	SPS00
momentos	momento	NCMP000
como	como	CS
estos	este	PD0MP000
,	,	Fc
cuando	cuando	CS
los	el	DA0MP0
sentimientos	sentimiento	NCMP000
personales	personal	AQ0CP0
y	y	CC
colectivos	colectivo	AQ0MP0
de	de	SPS00
afecto	afecto	NCMS000
,	,	Fc
de	de	SPS00
amistad	amistad	NCFS000
y	y	CC
de	de	SPS00
fraternidad	fraternidad	NCFS000
,	,	Fc
creados	crear	VMP00PM
a_través_de	a_través_de	SPS00
nuestra	nuestro	DP1FSP
convivencia	convivencia	NCFS000
,	,	Fc
nos	nos	PP1CP000
recuerdan	recordar	VMIP3P0
el	el	DA0MS0
gran	gran	AQ0CS0
patrimonio	patrimonio	NCMS000
común	común	AQ0CS0
que	que	PR0CN000
compartimos	compartir	VMIP1P0
.	.	Fp
Un	uno	DI0MS0
patrimonio	patrimonio	NCMS000
que	que	PR0CN000
merece	merecer	VMIP3S0
el	el	DA0MS0
cuidado	cuidado	NCMS000
de	de	SPS00
todos	todo	PI0MP000
y	y	CC
que	que	PR0CN000
todos	todo	PI0MP000
debemos	deber	VMIP1P0
ayudar	ayudar	VMN0000
a	a	SPS00
proteger	proteger	VMN0000
como	como	CS
lo	el	DA0NS0
mejor	mejor	AQ0CS0
que	que	PR0CN000
tenemos	tener	VMIP1P0
y	y	CC
somos	ser	VSIP1P0
;	;	Fx
como	como	CS
lo	el	DA0NS0
mejor	mejor	AQ0CS0
de	de	SPS00
lo	el	DA0NS0
que	que	PR0CN000
nos	nos	PP1CP000
une	unir	VMIP3S0
.	.	Fp
Como	como	CS
es	ser	VSIP3S0
tradición	tradición	NCFS000
,	,	Fc
permitid	permitir	VMM02P0
me	me	PP1CS000
esta	este	DD0FS0
noche	noche	NCFS000
que	que	PR0CN000
comparta	compartir	VMSP3S0
con	con	SPS00
vosotros	vosotros	PP2MP000
algunas	alguno	DI0FP0
