Me	me	PP1CS000
dirijo	dirigir	VMIP1S0
a	a	SPS00
todos	todo	DI0MP0
vosotros	vosotros	PP2MP000
en	en	SPS00
este	este	DD0MS0
tradicional	tradicional	AQ0CS0
mensaje	mensaje	NCMS000
de	de	SPS00
Nochebuena	nochebuena	NP00G00
para	para	SPS00
compartir	compartir	VMN0000
,	,	Fc
brevemente	brevemente	RG
,	,	Fc
algunas	alguno	DI0FP0
reflexiones	reflexión	NCFP000
y	y	CC
expresar	expresar	VMN0000
os	os	PP2CP000
de	de	SPS00
corazón	corazón	NCMS000
,	,	Fc
junto_a	junto_a	SPS00
la	el	DA0FS0
Reina	reina	NP00SP0
y	y	CC
a	a	SPS00
toda	todo	DI0FS0
mi	mi	DP1CSS
familia	familia	NCFS000
,	,	Fc
nuestro	nuestro	DP1MSP
mayor	mayor	AQ0CS0
afecto	afecto	NCMS000
y	y	CC
mejores	mejor	AQ0CP0
deseos	deseo	NCMP000
de	de	SPS00
felicidad	felicidad	NCFS000
en	en	SPS00
estas	este	DD0FP0
fechas	fecha	NCFP000
navideñas	navideño	AQ0FP0
.	.	Fp
Dedicamos	dedicar	VMIP1P0
nuestros	nuestro	DP1MPP
sentimientos	sentimiento	NCMP000
de	de	SPS00
especial	especial	AQ0CS0
cercanía	cercanía	NCFS000
y	y	CC
cariño	cariño	NCMS000
a	a	SPS00
cuantos	cuanto	PR0MP000
padecen	padecer	VMIP3P0
cualquier	cualquiera	DI0CS0
tipo	tipo	NCMS000
de	de	SPS00
sufrimiento	sufrimiento	NCMS000
o	o	CC
grave	grave	AQ0CS0
dificultad	dificultad	NCFS000
.	.	Fp
Esta	este	DD0FS0
noche	noche	NCFS000
no	no	RN
quiero	querer	VMIP1S0
ni	ni	CC
puedo	poder	VMIP1S0
olvidar	olvidar	VMN0000
a	a	SPS00
quienes	quien	PR0CP000
este	este	DD0MS0
año	año	NCMS000
han	haber	VAIP3P0
fallecido	fallecer	VMP00SM
en	en	SPS00
su	su	DP3CS0
entrega	entrega	NCFS000
a	a	SPS00
los	el	DA0MP0
demás	demás	PI0CP000
;	;	Fx
les	le	PP3CPD00
dedicamos	dedicar	VMIP1P0
nuestro	nuestro	DP1MSP
más	más	RG
emocionado	emocionar	VMP00SM
recuerdo	recuerdo	NCMS000
,	,	Fc
a_el_tiempo_que	al_tiempo_que	CS
abrazamos	abrazar	VMIP1P0
a	a	SPS00
sus	su	DP3CP0
familias	familia	NCFP000
en	en	SPS00
el	el	DA0MS0
dolor	dolor	NCMS000
;	;	Fx
que	que	CS
el	el	DA0MS0
ejemplo	ejemplo	NCMS000
de	de	SPS00
solidaridad	solidaridad	NCFS000
que	que	PR0CN000
nos	nos	PP1CP000
han	haber	VAIP3P0
dado	dar	VMP00SM
,	,	Fc
y	y	CC
que	que	PR0CN000
tanto	tanto	RG
valoramos	valorar	VMIP1P0
,	,	Fc
nos	nos	PP1CP000
sirva	servir	VMSP1S0
a	a	SPS00
todos	todo	PI0MP000
de	de	SPS00
guía	guía	NCCS000
para	para	SPS00
seguir	seguir	VMN0000
construyendo	construir	VMG0000
una	uno	DI0FS0
España	españa	NP00G00
siempre	siempre	RG
mejor	mejor	AQ0CS0
.	.	Fp
España	españa	NP00G00
es	ser	VSIP3S0
una	uno	DI0FS0
gran	gran	AQ0CS0
Nación	nación	NP00O00
.	.	Fp
Las	el	DA0FP0
últimas	último	AO0FP0
décadas	década	NCFP000
de	de	SPS00
nuestra	nuestro	DP1FSP
historia	historia	NCFS000
no	no	RN
tienen	tener	VMIP3P0
precedentes	precedente	NCMP000
en	en	SPS00
términos	término	NCMP000
de	de	SPS00
paz	paz	NCFS000
,	,	Fc
progreso	progreso	NCMS000
y	y	CC
libertad	libertad	NCFS000
.	.	Fp
Nuestro	nuestro	DP1MSP
modelo	modelo	NCCS000
de	de	SPS00
convivencia	convivencia	NCFS000
se	se	P00CN000
ha	haber	VAIP3S0
